source,doi,article,authors,year,genus,species,organism.group,life.stage,invitro.invivo,exposure.route,leachate.only,fed,polymer,mix,functional.group,shape,size.category,size.mm,size.min.mm,size.max.mm,type,environment,negative.control,positive.control,dose.particles.mL,dose.particles.mL.min,dose.particles.mL.max,dose.mg.L,dose.mg.kg.sed,dose.mg.kg.food,dose.particles.kg.food,dose.particles.kg.food.min,dose.particles.kg.food.max,dose.percent.sed,dose.particles.m2,dose.mg.m2,dose.percent.food,dose.particles.kg.sed,chem.add,chem.add.dose.mg.L,chem.exp.typ,exposure.duration.d,effect,lvl1,lvl2,lvl3,target.cell.tissue,bio.org,stat.clarity,treatments,replicates,size.valid,shape.valid,polymer.valid,source_1,contaminant.screen,sol.rinse,background.plastics,con.valid,homo.mix,exposure.valid,weather.biofoul,log_dose.mg.L,log_dose.particles.mL,effect_f,Conc,Species,Group
Rochman,10.1016/j.aquatox.2018.03.011,38,Pitt,2014,Lates,japonicus,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PE,Y,SO3,fiber,2,0.006,0.002,0.704,Mesocosm,Terrestrial,Y,Y,104000,680000,1100000,2500,300000,500,40000,25000000,35000000,0.5,500,1,10,940,pcb,0.16,sorbed,0.16,Y,stress,immune.cells,pgrp.mrnaexpression,digestive.tract,organism,Unclear,6,12,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,3.39794000867204,5.01703333929878,N,2500,Sparus aurata,Cnidaria
"Rochman,Jacob",10.1016/j.aquatox.2018.04.015,39,Qiao,2015,Lemna,koreanus,Fish,Adult,invitro,sediment,N,N,PET,n,COOH,fragment,3,0.008,0.0025,0.707,Field,Freshwater,N,N,140000,39000000,25000000000,5000,400000,496000,100000000,25000000,35000000,0.74,2600,5,30,2350,phenanthrene,0.2,co.exp,0.25,N,alimentary.excretory,immune.other,phagocytosis,embryo,population,Clear,7,15,N,N,N,commercial,N,N,N,N,N,N,N,3.69897000433602,5.14612803567824,Y,5000,Sphaerium corneum,Crustacea
Jacob,10.1016/j.aquatox.2019.105296,40,Rainieri,2016,Lophelia,krefftii,Insect,Early,invivo,water,Y,Y,PI,N,NH2,sphere,4,0.0096,0.004,0.95,Lab,Marine,Y,Y,168000,78000000,50000000000,10000,450000,1084000,1000000000,25000000,35000000,1,2610,10,70,110000,pyrene,0.252,sorbed,0.333,Y,behavioral.sense.neuro,intestinal.permeability,phenoloxydase.activity,gall.bladder,subcell,Unclear,10,20,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,4,5.22530928172586,N,10000,Tetraselmis chuii,Echinoderm
Koelmans,10.1016/j.cbpc.2019.02.005,41,RedondoHasselerharm,2017,Lumbribulus,labrax,Mollusca,Juveniles,invitro,food,N,N,PLA,Y,SO3,cube,5,0.01,0.00464,1,Mesocosm,Terrestrial,N,N,900000,1600000000,100000000000,20000,600000,0.0009,0.000012,25000000,35000000,2,5200,0.5,0.01,2400000,triclosan,0.32,co.exp,0.5,N,circulatory.respiratory,kidney.histo,phos.con,gills,tissue,Clear,1,24,N,N,N,N,N,N,N,N,N,N,N,4.30102999566398,5.95424250943933,Y,20000,Thalassiosira pseudonana,Fish
"Koelmans,Jacob",10.1016/j.cbpc.2019.108586,42,Rehse,2018,Lumbricus,latipes,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PMMA,n,COOH,fiber,1,0.015,0.005,1.175,Field,Freshwater,Y,Y,1000000,3100000000,200000000000,40000,1,0.009,0.00002,25000000,35000000,3.8,5220,1,0.1,9300000,bap,0.4,sorbed,1,Y,community,lipid.metabolism,phosphatase.activity,gonad,cell,Unclear,2,1,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,4.60205999132796,6,N,40000,Tigriopus fulvus,Insect
"Koelmans,Rochman",10.1016/j.chemosphere.2015.03.010,43,Reichert,2019,Lytechinus,lividus,Plant,Early,invitro,sediment,N,N,PP,N,NH2,fragment,2,0.02,0.006,1.4,Lab,Marine,N,N,1200000,6200000000,400000000000,80000,10,0.099,0.00012,25000000,35000000,5,156700,5,0.3,24000000,bpa,0.64,co.exp,2,N,fitness,liver.histo,photochemial.efficiency,granulocyte,organism,Clear,3,2,N,N,N,lab,N,N,N,N,N,N,N,4.90308998699194,6.07918124604763,Y,80000,Tigriopus japonicus,Mollusca
"Koelmans,Rochman,Jacob",10.1016/j.chemosphere.2016.02.133,44,Revel,2020,Macroalgae,lutea,Rotifera,Juveniles,invivo,water,Y,Y,PS,Y,SO3,sphere,3,0.0228,0.00656,2,Mesocosm,Terrestrial,Y,Y,1460000,12000000000,800000000000,100000,25,100,0.00035,25000000,35000000,7,261200,10,0.4,60000000,cefalexin,1,sorbed,3,Y,immune,liver.kidney.products,pk.mrnaexpression,haemocytes,population,Unclear,4,3,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,5,6.16435285578444,N,100000,Tisochrysis lutea,Nematoda
Rochman,10.1016/j.chemosphere.2018.05.170,45,Ribeiro,2008,Microalgae,maenas,Algae,Adult,invitro,food,N,N,PUR,n,COOH,cube,4,0.0234,0.008,2.5,Field,Freshwater,N,N,1800000,21000,34000,0.000008,50,300,3333.3333333333,25000000,35000000,7.4,365700,0.5,4,93000000,chromium,1.3,co.exp,4,N,metabolism,locomotion,polyp.activity,haemolymph,subcell,Clear,5,4,N,N,N,commercial,N,N,N,N,N,N,N,-5.09691001300806,6.25527250510331,Y,0.000008,Tripneustes gratilla,Plant
"Rochman,Jacob",10.1016/j.chemosphere.2018.05.172,46,Rist,2010,Microcystis,magna,Annelida,Early,invivo,maternal.transfer,Y,Y,PVC,N,NH2,fiber,5,0.025,0.0087,5,Lab,Marine,Y,Y,9000000,43000,68000,0.0001,62.5,500,40000,25000000,35000000,28,522400,1,10,232500000,copper,1.8,sorbed,5,Y,microbiome,mortality,population.size,head,tissue,Unclear,6,5,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-4,6.95424250943933,N,0.0001,Tubifex NA,Rotifera
Jacob,10.1016/j.chemosphere.2018.09.031,47,Rochman,2011,Montastraea,margaritifera,Bacterium,Juveniles,invitro,sediment,N,N,BIO,Y,SO3,fragment,1,0.028,0.01,0.004,Mesocosm,Terrestrial,N,N,14600000,85000,130000,0.00025,125,496000,100000000,25000000,35000000,45,1044800,5,30,94,ee2,2,co.exp,6,N,stress,nervous.system,potassium.con,head.kidney.leuk,cell,Clear,7,6,N,N,N,N,N,N,N,N,N,N,N,-3.60205999132796,7.16435285578444,Y,0.00025,Zacco temminckii,(Missing)
Koelmans,10.1016/j.chemosphere.2018.11.070,48,RodriguezSeijo,2012,Multiple,marina,Cnidaria,Adult,invivo,water,Y,Y,EVA,n,COOH,sphere,2,0.03,0.011,0.005,Field,Freshwater,Y,Y,18000000,170000,270000,0.00055,250,1084000,1000000000,25000000,35000000,60,26800000,10,70,940,mercury,2.5,sorbed,7,Y,alimentary.excretory,oxidative.stress,ppara.mrnaexpression,heart,organism,Unclear,10,7,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-3.25963731050576,7.25527250510331,N,0.00055,Abra nitida,Algae
"Koelmans,Jacob",10.1016/j.chemosphere.2019.07.065,49,Romano,2013,Mytilus,marinus,Crustacea,Early,invitro,food,N,N,LTX,N,NH2,cube,3,0.0327,0.01148,0.006,Lab,Marine,N,N,110000000,340000,540000,0.0008,500,0.0009,0.000012,25000000,35000000,0.005,500,0.5,0.01,2350,nickel,3,co.exp,8,N,behavioral.sense.neuro,photosynthesis,ppary.mrnaexpression,hyalinocyte,population,Clear,1,8,N,N,N,lab,N,N,N,N,N,N,N,-3.09691001300806,8.04139268515823,Y,0.0008,Acanthochromis polyacanthus,Annelida
"Koelmans,Rochman",10.1016/j.cub.2013.10.012,50,Seoane,2014,Nephrops,melastigma,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PA,Y,SO3,fiber,4,0.034,0.012,0.0085,Mesocosm,Terrestrial,Y,Y,146000000,680000,1100000,0.001,1000,0.009,0.00002,25000000,35000000,0.02,2600,1,0.1,110000,nonylphenol,3.9,sorbed,9,Y,circulatory.respiratory,proteobacteria,prdx1.mrnaexpression,jaw,subcell,Unclear,2,9,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-3,8.16435285578444,N,0.001,Acartia clausi,Bacterium
"Koelmans,Rochman,Jacob",10.1016/j.cub.2013.10.068,51,Silva,2015,Nitocra,microps,Fish,Adult,invitro,sediment,N,N,PC,n,COOH,fragment,5,0.035,0.014,0.01,Field,Freshwater,N,N,180000000,39000000,25000000000,0.00139,1250,0.099,0.00012,25000000,35000000,0.05,2610,5,0.3,2400000,paraquat,4,co.exp,10,N,community,reproduction,prdx2.mrnaexpression,kidney,tissue,Clear,3,10,N,N,N,commercial,N,N,N,N,N,N,N,-2.85698519974591,8.25527250510331,Y,0.00139,Acipenser transmontanus,Cnidaria
Rochman,10.1016/j.cub.2013.10.069,52,Sjollema,2016,Oncorhynchus,mikimotoi,Insect,Early,invivo,water,Y,Y,PE,N,NH2,sphere,1,0.036,0.015,0.012,Lab,Marine,Y,Y,291000000,78000000,50000000000,0.0025,2500,100,0.00035,25000000,35000000,0.074,5200,10,0.4,9300000,pbde47,5,sorbed,11,Y,fitness,respiration,prdx3.mrnaexpression,kidney.neutrophil,cell,Unclear,4,11,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-2.60205999132796,8.46389298898591,N,0.0025,Acropora muricata,Crustacea
"Rochman,Jacob",10.1016/j.cub.2013.10.070,53,Straub,2017,Orbicella,minor,Mollusca,Juveniles,invitro,food,N,N,PET,Y,SO3,cube,2,0.04,0.01798,0.013,Mesocosm,Terrestrial,N,N,1100000000,1600000000,100000000000,0.00396,5000,300,3333.3333333333,25000000,35000000,0.2,5220,0.5,4,24000000,pcb,8,co.exp,12,N,immune,sexhormones,prdx5.mrnaexpression,leaf,organism,Clear,5,12,N,N,N,N,N,N,N,N,N,N,N,-2.40230481407449,9.04139268515823,Y,0.00396,Amphibalanus amphitrite,Echinoderm
Jacob,10.1016/j.cub.2013.10.071,54,Sun,2018,Oreochromis,muricata,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PI,n,COOH,fiber,3,0.0402,0.0187,0.015,Field,Freshwater,Y,Y,1460000000,3100000000,200000000000,0.005,10000,500,40000,25000000,35000000,0.5,156700,1,10,60000000,phenanthrene,10,sorbed,14,Y,metabolism,shoaling,predatory.performance,liver,population,Unclear,6,15,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-2.30102999566398,9.16435285578444,N,0.005,Arenicola marina,Fish
Koelmans,10.1016/j.cub.2013.10.072,55,Sussarellu,2019,Oryzias,mykiss,Plant,Early,invitro,sediment,N,N,PLA,N,NH2,fragment,4,0.045,0.02,0.0176,Lab,Marine,N,N,11000000000,6200000000,400000000000,0.0055,20000,496000,100000000,25000000,35000000,0.74,261200,5,30,93000000,pyrene,18.9,co.exp,20,N,microbiome,stress,pregnancy.rate,mantle,subcell,Clear,7,20,N,N,N,lab,N,N,N,N,N,N,N,-2.25963731050576,10.0413926851582,Y,0.0055,Artemia franciscana ,Insect
"Koelmans,Jacob",10.1016/j.cub.2013.10.073,56,Tang,2020,Ostrea,nana,Rotifera,Juveniles,invivo,water,Y,Y,PMMA,Y,SO3,sphere,5,0.05,0.025,0.02,Mesocosm,Terrestrial,Y,Y,14600000000,12000000000,800000000000,0.008,50000,1084000,1000000000,25000000,35000000,1,365700,10,70,232500000,triclosan,28.4,sorbed,21,Y,stress,vision.system,protein.carbonyl.con,muscle,tissue,Unclear,10,24,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-2.09691001300806,10.1643528557844,N,0.008,Artemia parthenogenetica,Mollusca
"Koelmans,Rochman",10.1016/j.cub.2013.10.074,57,Tosetto,2008,Palaemonetes,neogracile,Algae,Adult,invitro,food,N,N,PP,n,COOH,cube,1,0.051,0.03,0.025,Field,Freshwater,N,N,73100000000,21000,34000,0.01,70000,0.0009,0.000012,25000000,35000000,2,522400,0.5,0.01,94,bap,0.0002,co.exp,24,N,alimentary.excretory,abundance,protein.con,plasma,cell,Clear,1,1,N,N,N,commercial,N,N,N,N,N,N,N,-2,10.8639173769579,Y,0.01,Asellus aquaticus,Nematoda
"Koelmans,Rochman,Jacob",10.1016/j.cub.2013.10.075,58,VanCauwenberghe,2010,Paracentrotus,niloticus,Annelida,Early,invivo,maternal.transfer,Y,Y,PS,N,NH2,fiber,2,0.0545,0.032,0.032,Lab,Marine,Y,Y,90000000000,43000,68000,0.0111,100000,0.009,0.00002,25000000,35000000,3.8,1044800,1,0.1,940,bpa,0.001,sorbed,28,Y,behavioral.sense.neuro,actinobacteria,protein.reserves,root,organism,Unclear,2,2,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.95467702121334,10.9542425094393,N,0.0111,Atactodea striata,Plant
Rochman,10.1016/j.cub.2013.10.076,59,von Moos,2011,Paracyclopina,nitida,Bacterium,Juveniles,invitro,sediment,N,N,PUR,Y,SO3,fragment,3,0.055,0.038,0.038,Mesocosm,Terrestrial,N,N,146000000000,85000,130000,0.0184,200000,0.099,0.00012,25000000,35000000,5,26800000,5,0.3,2350,cefalexin,0.002,co.exp,30,N,circulatory.respiratory,aggressivity,ps2,serum,population,Clear,3,3,N,N,N,N,N,N,N,N,N,N,N,-1.73518217699046,11.1643528557844,Y,0.0184,Barbodes gonionotus,Rotifera
"Rochman,Jacob",10.1016/j.ecoenv.2015.09.021,60,Vroom,2012,Parvocalanus,norvegicus,Cnidaria,Adult,invivo,water,Y,Y,PVC,n,COOH,sphere,4,0.05769,0.04,0.04,Field,Freshwater,Y,Y,291000000000,170000,270000,0.02,280000,100,0.00035,25000000,35000000,7,500,10,0.4,110000,chromium,0.01,sorbed,31,Y,community,ammonia.excretion,psaa.mrnaexpression,whole.body,subcell,Unclear,4,4,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.69897000433602,11.4638929889859,N,0.02,Bathygobius krefftii,(Missing)
Jacob,10.1016/j.ecoenv.2017.03.029,61,Wan,2013,Perinereis,obliquus,Crustacea,Early,invitro,food,N,N,BIO,N,NH2,cube,5,0.059,0.062,0.045,Lab,Marine,N,N,731000000000,340000,540000,0.023,300000,300,3333.3333333333,25000000,35000000,7.4,2600,0.5,4,2400000,copper,0.016,co.exp,35,N,fitness,bacteriodetes,psab.mrnaexpression,blood,tissue,Clear,5,5,N,N,N,lab,N,N,N,N,N,N,N,-1.63827216398241,11.8639173769579,Y,0.023,Brachionus koreanus,Algae
Koelmans,10.1016/j.ecoenv.2017.07.036,62,Wang,2014,Perna,onyx,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,EVA,Y,SO3,fiber,1,0.06305,0.063,0.05,Mesocosm,Terrestrial,Y,Y,9300000000000,680000,1100000,0.025,400000,500,40000,25000000,35000000,28,2610,1,10,9300000,ee2,0.02,sorbed,36,Y,immune,blood,psba.mrnaexpression,brain,cell,Unclear,6,6,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.60205999132796,12.9684829485539,N,0.025,Brachionus plicatilis,Annelida
"Koelmans,Jacob",10.1016/j.ecoenv.2019.03.100,63,Watts,2015,Pimephales,parthenogenetica,Fish,Adult,invitro,sediment,N,N,LTX,n,COOH,fragment,2,0.065,0.065,0.063,Field,Freshwater,N,N,6390000000000000000,39000000,25000000000,0.03125,450000,496000,100000000,25000000,35000000,45,5200,5,30,24000000,mercury,0.020225,co.exp,39,N,metabolism,body.condition,psbl.mrnaexpression,coelomocytes,organism,Clear,7,7,N,N,N,commercial,N,N,N,N,N,N,N,-1.50514997831991,18.8055008581584,Y,0.03125,Caenorhabditis elegans,Bacterium
"Koelmans,Rochman",10.1016/j.ecolind.2013.06.019,64,Weber,2016,Pinctada,perna,Insect,Early,invivo,water,Y,Y,PA,N,NH2,sphere,3,0.07,0.068,0.064,Lab,Marine,Y,Y,12780000000000000000,78000000,50000000000,0.032,600000,1084000,1000000000,25000000,35000000,60,5220,10,70,60000000,nickel,0.04,sorbed,42,Y,microbiome,boldness,rapid.light.resp.curve,digestive.tract,population,Unclear,10,8,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.49485002168009,19.1065308538224,N,0.032,Calanus finmarchicus,Cnidaria
"Koelmans,Rochman,Jacob",10.1016/j.ecss.2015.07.023,65,Wegner,2017,Platorchestia,pertusa,Mollusca,Juveniles,invitro,food,N,N,PC,Y,SO3,cube,4,0.0713,0.08,0.075,Mesocosm,Terrestrial,N,N,19170000000000000000,1600000000,100000000000,0.0396,1,0.0009,0.000012,25000000,35000000,0.005,156700,0.5,0.01,93000000,nonylphenol,0.08,co.exp,44,N,stress,brain.histo,rbc.con,embryo,subcell,Clear,1,9,N,N,N,N,N,N,N,N,N,N,N,-1.40230481407449,19.2826221128781,Y,0.0396,Calanus helgolandicus,Crustacea
Rochman,10.1016/j.envpol.2014.10.026,66,Welden.Cowie,2018,Pocillopora,plana,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PE,n,COOH,fiber,5,0.075,0.09,0.1,Field,Freshwater,Y,Y,0.009,3100000000,200000000000,0.04,10,0.009,0.00002,25000000,35000000,0.02,261200,1,0.1,232500000,paraquat,0.1,sorbed,45,Y,alimentary.excretory,burrowing,rbcl.mrnaexpression,gall.bladder,tissue,Unclear,2,10,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.39794000867204,-2.04575749056068,N,0.04,Carassius auratus,Echinoderm
"Rochman,Jacob",10.1016/j.envpol.2014.12.021,67,Wright,2019,Pomatoschistus,plicatilis,Plant,Early,invitro,sediment,N,N,PET,N,NH2,fragment,1,0.0756,0.1,0.106,Lab,Marine,N,N,0.01,6200000000,400000000000,0.046,25,0.099,0.00012,25000000,35000000,0.05,365700,5,0.3,94,pbde47,0.126,co.exp,47,N,behavioral.sense.neuro,carb.metabolism,rc.abs,gills,cell,Clear,3,11,N,N,N,lab,N,N,N,N,N,N,N,-1.33724216831843,-2,Y,0.046,Carassius carassius,Fish
Jacob,10.1016/j.envpol.2015.01.008,68,Wu,2020,Porcellio,polyacanthus,Rotifera,Juveniles,invivo,water,Y,Y,PI,Y,SO3,sphere,2,0.07921,0.125,0.138,Mesocosm,Terrestrial,Y,Y,0.0203,12000000000,800000000000,0.05,50,100,0.00035,25000000,35000000,0.074,522400,10,0.4,940,pcb,0.16,sorbed,48,Y,circulatory.respiratory,chemokines.cytokines,redox.state,gonad,organism,Unclear,4,12,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.30102999566398,-1.69250396208679,N,0.05,Carcinus maenas,Insect
Koelmans,10.1016/j.envpol.2015.10.010,69,Xu,2008,Porites,polymorpha,Algae,Adult,invitro,food,N,N,PLA,n,COOH,cube,3,0.08,0.15,0.15,Field,Freshwater,N,N,0.1,21000,34000,0.055,62.5,300,3333.3333333333,25000000,35000000,0.2,1044800,0.5,4,2350,phenanthrene,0.2,co.exp,50,N,community,circulatory,relative.e.transport.rate,granulocyte,population,Clear,5,15,N,N,N,commercial,N,N,N,N,N,N,N,-1.25963731050576,-1,Y,0.055,Ceriodaphnia dubia,Mollusca
"Koelmans,Jacob",10.1016/j.envpol.2016.01.083,70,Yin,2010,Potamopyrgus,promelas,Annelida,Early,invivo,maternal.transfer,Y,Y,PMMA,N,NH2,fiber,4,0.083,0.18,0.18,Lab,Marine,Y,Y,0.25,43000,68000,0.0625,125,500,40000,25000000,35000000,0.5,26800000,1,10,110000,pyrene,0.252,sorbed,56,Y,fitness,detoxification,relocate,haemocytes,subcell,Unclear,6,20,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.20411998265592,-0.602059991327962,N,0.0625,Chaetoceros neogracile,Nematoda
"Koelmans,Rochman",10.1016/j.envpol.2016.05.006,71,Yu,2011,Raphidocelis,pseudonana,Bacterium,Juveniles,invitro,sediment,N,N,PP,Y,SO3,fragment,5,0.0876,0.25,0.212,Mesocosm,Terrestrial,N,N,0.27,85000,130000,0.08,250,496000,100000000,25000000,35000000,0.74,500,5,30,2400000,triclosan,0.32,co.exp,60,N,immune,development,reproduction.factor,haemolymph,tissue,Clear,7,24,N,N,N,N,N,N,N,N,N,N,N,-1.09691001300806,-0.568636235841013,Y,0.08,Chironomus riparius,Plant
"Koelmans,Rochman,Jacob",10.1016/j.envpol.2016.05.043,72,Zhang,2012,Scenedesmus,pugio,Cnidaria,Adult,invivo,water,Y,Y,PS,n,COOH,sphere,1,0.08995,0.42,0.25,Field,Freshwater,Y,Y,0.35,170000,270000,0.083,500,1084000,1000000000,25000000,35000000,1,2600,10,70,9300000,bap,0.4,sorbed,61,Y,metabolism,digestion,reproductive.freq,head,cell,Unclear,10,1,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.08092190762393,-0.455931955649724,N,0.083,Chlamydomas reinhardtii,Rotifera
Rochman,10.1016/j.envpol.2016.06.039,73,Zhao,2013,Scrobicularia,pulex,Crustacea,Early,invitro,food,N,N,PUR,N,NH2,cube,2,0.09,1,0.3,Lab,Marine,N,N,0.5,340000,540000,0.092,1000,0.0009,0.000012,25000000,35000000,2,2610,0.5,0.01,24000000,bpa,0.64,co.exp,69,N,microbiome,digestive.enzymes,resistance.time,head.kidney.leuk,organism,Clear,1,2,N,N,N,lab,N,N,N,N,N,N,N,-1.03621217265444,-0.301029995663981,Y,0.092,Chlamydomonas reinhardtii,(Missing)
"Rochman,Jacob",10.1016/j.envpol.2016.07.017,74,Ziajahromi,2014,Sebastes,pyrenoidosa,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PVC,Y,SO3,fiber,3,0.093,3,0.31,Mesocosm,Terrestrial,Y,Y,0.54,680000,1100000,0.1,1250,0.009,0.00002,25000000,35000000,3.8,5200,1,0.1,60000000,cefalexin,1,sorbed,72,Y,stress,digestive.tract.histo,respiration.rate,heart,population,Unclear,2,3,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1,-0.267606240177031,N,0.1,Chlorella NA,Algae
Jacob,10.1016/j.envpol.2016.08.020,75,Aljaibachi.Callaghan,2015,Seletonema,reinhardtii,Fish,Adult,invitro,sediment,N,N,BIO,n,COOH,fragment,4,0.096,0,0.3107,Field,Freshwater,N,N,0.68,39000000,25000000000,0.125,2500,0.099,0.00012,25000000,35000000,5,5220,5,0.3,93000000,chromium,1.3,co.exp,78,N,alimentary.excretory,diversity,respiratory.burst,hyalinocyte,subcell,Clear,3,4,N,N,N,commercial,N,N,N,N,N,N,N,-0.903089986991944,-0.167491087293764,Y,0.125,Chlorella pyrenoidosa,Annelida
Koelmans,10.1016/j.envpol.2016.09.092,76,Asmonaite,2016,Sparus,rerio,Insect,Early,invivo,water,Y,Y,EVA,N,NH2,sphere,5,0.097,0.00031,0.316,Lab,Marine,Y,Y,0.73,78000000,50000000000,0.184,5000,100,0.00035,25000000,35000000,7,156700,10,0.4,232500000,copper,1.8,sorbed,90,Y,behavioral.sense.neuro,feeding,retrmax,jaw,tissue,Unclear,4,5,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-0.735182176990464,-0.136677139879544,N,0.184,Chlorella vulgaris,Bacterium
"Koelmans,Jacob",10.1016/j.envpol.2016.09.096,77,Au,2017,Sphaerium,riparius,Mollusca,Juveniles,invitro,food,N,N,LTX,Y,SO3,cube,1,0.1,0.0004,0.35,Mesocosm,Terrestrial,N,N,0.8,1600000000,100000000000,0.19,10000,300,3333.3333333333,25000000,35000000,7.4,261200,0.5,4,94,ee2,2,co.exp,95,N,circulatory.respiratory,firmicutes,root.length,kidney,cell,Clear,5,6,N,N,N,N,N,N,N,N,N,N,N,-0.721246399047171,-0.0969100130080564,Y,0.19,Clarias gariepinus,Cnidaria
"Koelmans,Rochman",10.1016/j.envpol.2016.10.037,78,Avio,2018,Tetraselmis,salina,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PA,n,COOH,fiber,2,0.102,0.001,0.3545,Field,Freshwater,Y,Y,1,3100000000,200000000000,0.2,20000,500,40000,25000000,35000000,28,365700,1,10,940,mercury,2.5,sorbed,114,Y,community,gall.bladder.histo,ros.prod,kidney.neutrophil,organism,Unclear,6,7,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-0.698970004336019,0,N,0.2,Corbicula fluminea,Crustacea
"Koelmans,Rochman,Jacob",10.1016/j.envpol.2016.11.005,79,Barboza,2019,Thalassiosira,scaber,Plant,Early,invitro,sediment,N,N,PC,N,NH2,fragment,3,0.1029,0.0014,0.35856,Lab,Marine,N,N,1.1,6200000000,400000000000,0.216,50000,496000,100000000,25000000,35000000,45,522400,5,30,2350,nickel,3,co.exp,168,N,fitness,gen.metabolism,s100a1.mrnaexpression,leaf,population,Clear,7,8,N,N,N,lab,N,N,N,N,N,N,N,-0.665546248849069,0.0413926851582251,Y,0.216,Crassostrea gigas,Echinoderm
Rochman,10.1016/j.envpol.2017.01.047,80,Batel,2020,Tigriopus,schlegelii,Rotifera,Juveniles,invivo,water,Y,Y,PE,Y,SO3,sphere,4,0.103,0.002,0.4,Mesocosm,Terrestrial,Y,Y,1.4,12000000000,800000000000,0.22,70000,1084000,1000000000,25000000,35000000,60,1044800,10,70,110000,nonylphenol,3.9,sorbed,450,Y,immune,gill.histo,saa.mrnaexpression,liver,subcell,Unclear,10,9,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-0.657577319177794,0.146128035678238,N,0.22,Crepidula onyx,Fish
"Rochman,Jacob",10.1016/j.envpol.2017.05.047,81,Beiras,2008,Tisochrysis,sinensis,Algae,Adult,invitro,food,N,N,PET,n,COOH,cube,5,0.1117,0.0025,0.41,Field,Freshwater,N,N,2.1,21000,34000,0.23,100000,0.0009,0.000012,25000000,35000000,0.005,26800000,0.5,0.01,2400000,paraquat,4,co.exp,0.02,N,metabolism,gonad.histo,sd.mrnaexpression,mantle,tissue,Clear,1,10,N,N,N,commercial,N,N,N,N,N,N,N,-0.638272163982407,0.322219294733919,Y,0.23,Cyanobacteria NA,Insect
Jacob,10.1016/j.envpol.2017.05.048,82,Bejgarn,2010,Tripneustes,smithi,Annelida,Early,invivo,maternal.transfer,Y,Y,PI,N,NH2,fiber,1,0.116,0.004,0.478,Lab,Marine,Y,Y,4,43000,68000,0.25,200000,0.009,0.00002,25000000,35000000,0.02,500,1,0.1,9300000,pbde47,5,sorbed,0.03,Y,microbiome,growth,sdi,muscle,cell,Unclear,2,11,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-0.602059991327962,0.602059991327962,N,0.25,Cyprinodon variegatus,Mollusca
Koelmans,10.1016/j.envpol.2017.07.050,83,Bergami,2011,Tubifex,spinipes,Bacterium,Juveniles,invitro,sediment,N,N,PLA,Y,SO3,fragment,2,0.12,0.00464,0.5,Mesocosm,Terrestrial,N,N,4.2,85000,130000,0.26,280000,0.099,0.00012,25000000,35000000,0.05,2600,5,0.3,24000000,pcb,8,co.exp,0.04,N,stress,immune.cells,segment.regeneration,plasma,organism,Clear,3,12,N,N,N,N,N,N,N,N,N,N,N,-0.585026652029182,0.6232492903979,Y,0.26,Cyprinus carpio,Nematoda
"Koelmans,Jacob",10.1016/j.envpol.2017.08.088,84,Besseling,2012,Zacco,spp,Cnidaria,Adult,invivo,water,Y,Y,PMMA,n,COOH,sphere,3,0.1301,0.005,0.516,Field,Freshwater,Y,Y,4.3,170000,270000,0.368,300000,100,0.00035,25000000,35000000,0.074,2610,10,0.4,60000000,phenanthrene,10,sorbed,0.083,Y,alimentary.excretory,immune.other,serotonin.con,root,population,Unclear,4,15,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-0.434152181326482,0.633468455579587,N,0.368,Danio rerio,Plant
